total_sqft,bath,balcony,price,pc1,pc2
1056,2,1,39.07,-1489.049,-212.093
2600,5,3,120,-844.92575,-116.094
1440,2,3,62,-894.483,-136.904
1521,3,1,95,-824.282,-96.216
1200,2,1,51,-680.147,-88.206
1170,2,1,38,-761.022,-107.91875
1310,3,1,63.25,-1090.703,-140.106
1800,2,2,70,-1610.1755,-310.144
2785,5,3,295,-589.61,-77.022
1000,2,1,38,-651.95,-84.117
1100,2,2,40,-1414.932,-205.592
2250,3,2,148,-688.31,-104.9315
1175,2,2,73.5,-675.72,-91.95
1180,3,2,48,-931.332,-120.378
1540,3,3,60,-1753.294,-305.946
2770,4,2,290,-672.842,-88.634
1100,2,2,48,-351.82375,-42.805
600,1,1,15,-1019.922,-163.593
1755,3,1,122,-1593.6875,-352.56
2800,5,2,380,-1038.279,-156.302
1767,3,1,103,-313.09915,-41.53375
510,1,0,25.25,-730.254,-101.53
1250,3,2,56,-390.883,-49.4867
660,1,1,23.1,-971.307,-134.563
1610,3,2,81,-679.02905,-92.18999
1151,2,2,48.77,-597.377,-83.768
1025,2,1,47,-630.6725,-80.061
1075,2,1,35,-1056.758,-163.275
1760,2,2,123,-984.6204,-128.90793
1693,3,3,57.39,-418.532,-58.911
700,2,1,36,-624.14,-84.9955
1070,2,1,45.5,-993.528,-162.831
1724,3,2,125,-753.17,-103.24644
1290,2,2,56.12,-662.837,-89.132
1143,2,2,45,-755.7879,-93.867
1254,3,2,38,-403.282,-54.627
600,1,0,38,-390.592,-63.218
660,1,0,48,-573.287,-73.65
970,2,0,33,-873.338,-132.97534
1459,2,1,94.82,-497.17,-110.689
800,1,1,130,-528.698,-69.051
869,2,1,36,-754.862,-100.05
1270,2,1,50,-966.042,-147.05
1670,3,1,99,-1227.597,-163.433
2010,3,2,91,-744.833,-105.278
1185,2,2,75,-904.25,-131.041
1600,2,3,75,-678.65,-91.944
1200,2,2,44,-847.457,-179.716
1500,2,2,185,-795.676,-157.47
1407,4,1,150,0,0
